City,Latitude,Longitude,Property_Type,Ownership,Condition,Available_Utilities,Bedrooms,Bathrooms,Size_sqm,Price_NGN
Jos,9.93977,8.86582,Studio,Rent,New,Internet,6.0,4.0,420.0,23609907.0
Port harcourt,4.78806,7.03702,Studio,Rent,Old,Electricity,2.0,2.0,211.0,44822943.0
Enugu,6.53898,7.48719,Bungalow,Rent,Fairly Used,Parking,4.0,1.0,188.0,23654924.0
Jos,9.94434,8.88312,Detached House,Rent,Old,Security,6.0,2.0,274.0,37674971.0
Benin city,6.35982,5.62804,Studio,Rent,Fairly Used,Security,5.0,2.0,147.0,11184536.0
Jos,9.91945,8.88485,Detached House,Sale,Old,Security,1.0,3.0,587.0,138342461.0
Benin city,6.35038,5.65004,Duplex,Sale,Old,Electricity,4.0,4.0,181.0,449142452.0
Kano,11.95492,8.54842,Appartment,Rent,Fairly Used,Internet,2.0,4.0,266.0,62974870.0
Kaduna,10.48536,7.46207,Apartment,Rent,Fairly Used,Security,5.0,2.0,201.0,29854469.0
Kano,11.99495,8.55812,Apartment,Rent,New,Internet,4.0,2.0,266.0,199772072.0
Enugu,6.53578,7.50215,Duplex,Rent,Old,Water,3.0,2.0,328.0,56089633.0
Ibadan,7.40642,3.95433,Studio,Rent,Old,Internet,3.0,4.0,484.0,7994376.0
Benin city,6.33814,5.56911,Duplex,Rent,Fairly Used,Electricity,3.0,3.0,593.0,42093087.0
Abuja,9.10818,7.36933,Detached House,Rent,New,Internet,3.0,1.0,323.0,39829124.0
Jos,9.92246,8.82708,Apartment,Sale,Fairly Used,Electricity,2.0,4.0,495.0,70304749.0
Abuja,9.0732,7.38264,Mini Flat,Rent,New,Electricity,1.0,1.0,467.0,167313667.0
Lagos,6.51598,3.40117,Detached House,Rent,Old,Internet,6.0,1.0,139.0,22137708.0
Maiduguri,11.81431,13.13518,Bungalow,Rent,Fairly Used,Security,6.0,4.0,567.0,31022580.0
Abuja,9.12392,7.43331,Studio,Rent,Old,Parking,1.0,4.0,84.0,95053571.0
Kaduna,10.54461,7.48184,Apartment,Sale,Old,Security,4.0,2.0,143.0,24438280.0
Enugu,6.52747,7.5237,Studio,Rent,New,Parking,4.0,3.0,401.0,16793752.0
Abuja,9.11108,7.38869,Mini Flat,Sale,Fairly Used,Security,2.0,4.0,148.0,262676680.0
Kaduna,10.50682,7.45746,Bungalow,Rent,Fairly Used,Internet,4.0,3.0,293.0,68772797.0
Ibadan,7.42272,3.90124,Duplex,Rent,Fairly Used,Water,5.0,1.0,230.0,202346706.0
Lagos,6.55262,3.34164,Detached House,Sale,Fairly Used,Water,5.0,3.0,207.0,89697746.0
Ibadan,7.37026,3.94125,Duplx,Rent,New,Security,2.0,3.0,178.0,23884601.0
Port harcourt,4.7957,7.05006,Studio,Sale,Old,Water,1.0,3.0,42.0,210668805.0
Enugu,6.4994,7.5101,Apartment,Sale,New,Water,4.0,4.0,350.0,254896342.0
Enugu,6.52397,7.55191,Bungalow,Sale,New,Electricity,5.0,1.0,344.0,74225798.0
Jos,9.91014,8.84075,Detached House,Rent,Fairly Used,Electricity,5.0,3.0,246.0,465269270.0
Kaduna,10.55809,7.413,Duplex,Sale,Old,Internet,3.0,4.0,338.0,79347388.0
Benin city,6.28591,5.63161,Detached House,Rent,Old,Security,6.0,4.0,205.0,60367675.0
Jos,9.94185,8.89646,Apartment,Sale,Old,Parking,4.0,2.0,189.0,67026707.0
Kano,11.99453,8.55036,Duplex,Sale,Fairly Used,Electricity,6.0,2.0,558.0,47745934.0
Maiduguri,11.8276,13.18574,Bungalow,Rent,Old,Internet,2.0,2.0,533.0,37044449.0
Enugu,6.49548,7.48154,Detached House,Sale,Fairly Used,Water,4.0,3.0,524.0,473851332.0
Lagos,6.491,3.34064,Mini Flat,Sale,New,Internet,6.0,4.0,99.0,27858630.0
Port harcourt,4.79677,7.00011,Mini Flat,Sale,Old,Water,2.0,1.0,145.0,187391831.0
Port harcourt,4.83141,7.0115,Appartment,Rent,Fairly Used,Water,4.0,3.0,384.0,6303677.0
Maiduguri,11.79344,13.16363,Detached House,Sale,Fairly Used,Water,1.0,4.0,304.0,80874382.0
Enugu,6.546,7.52922,Bungalow,Sale,Old,Water,4.0,3.0,249.0,260946535.0
Ibadan,7.37608,3.90869,Bungalow,Rent,Old,Internet,4.0,3.0,341.0,37027732.0
Maiduguri,11.82011,13.13651,Duplex,Rent,Fairly Used,Water,4.0,3.0,569.0,105407377.0
Kano,12.04489,8.56327,Appartment,Sale,Fairly Used,Security,5.0,3.0,403.0,7181930.0
Kano,12.00064,8.61128,Duplex,Rent,Old,Security,5.0,3.0,350.0,67091864.0
Port harcourt,4.80856,7.02769,Duplx,Sale,Old,Internet,2.0,3.0,345.0,34250847.0
Ibadan,7.4117,3.94527,Duplx,Sale,New,Electricity,6.0,3.0,425.0,240527534.0
Jos,9.92035,8.87496,Appartment,Rent,Fairly Used,Security,3.0,2.0,141.0,76954636.0
Jos,9.88773,8.90177,Mini Flat,Sale,Old,Parking,1.0,2.0,580.0,25576259.0
Lagos,6.51839,3.3936,Duplex,Rent,Fairly Used,Security,3.0,2.0,461.0,23807008.0
Benin city,6.33061,5.59824,Duplex,Rent,New,Parking,4.0,4.0,259.0,4795126.0
Lagos,6.55008,3.39726,Detached House,Rent,New,Parking,5.0,3.0,64.0,95637821.0
Lagos,6.52987,3.33688,Bungalow,Rent,Old,Water,3.0,4.0,150.0,120242815.0
Maiduguri,11.79805,13.1061,Appartment,Rent,Fairly Used,Electricity,5.0,2.0,214.0,13791470.0
Abuja,9.10097,7.38984,Apartment,Rent,Fairly Used,Water,4.0,1.0,440.0,60874792.0
Enugu,6.50601,7.5213,Studio,Sale,Fairly Used,Electricity,3.0,1.0,81.0,241356271.0
Jos,9.92557,8.84677,Duplex,Sale,Fairly Used,Parking,2.0,2.0,530.0,201230985.0
Kaduna,10.50926,7.47927,Bungalow,Sale,Old,Parking,4.0,3.0,190.0,229389165.0
Enugu,6.52302,7.4695,Duplex,Rent,Old,Parking,1.0,3.0,46.0,150783145.0
Port harcourt,4.8529,7.01669,Studio,Rent,Fairly Used,Internet,6.0,3.0,126.0,53662376.0
Abuja,9.06728,7.43724,Bungalow,Rent,New,Electricity,2.0,4.0,426.0,21878589.0
Kaduna,10.50343,7.46565,Detached House,Sale,New,Electricity,4.0,1.0,585.0,460487563.0
Kaduna,10.53788,7.44819,Studio,Rent,Fairly Used,Electricity,1.0,4.0,533.0,418925657.0
Lagos,6.57298,3.40833,Appartment,Sale,New,Water,5.0,2.0,168.0,209506415.0
Abuja,9.02919,7.38665,Appartment,Sale,New,Internet,2.0,2.0,179.0,353485228.0
Lagos,6.56742,3.38196,Bungalow,Sale,Old,Water,1.0,3.0,555.0,87582689.0
Port harcourt,4.82732,7.09678,Appartment,Rent,Old,Internet,2.0,2.0,431.0,81293706.0
Abuja,9.05929,7.42231,Apartment,Sale,New,Parking,2.0,3.0,485.0,81076741.0
Port harcourt,4.85942,7.02736,Detached House,Rent,Old,Security,5.0,4.0,346.0,74319630.0
Maiduguri,11.85284,13.14536,Duplex,Rent,Old,Electricity,3.0,2.0,153.0,453476502.0
Kano,11.95908,8.59687,Mini Flat,Rent,Old,Parking,2.0,3.0,285.0,416047419.0
Lagos,6.57173,3.34934,Studio,Sale,Old,Electricity,5.0,3.0,81.0,69421156.0
Port harcourt,4.78378,7.05021,Duplex,Rent,New,Water,1.0,1.0,434.0,88417276.0
Kano,12.01431,8.57208,Duplex,Rent,Fairly Used,Electricity,5.0,4.0,91.0,358143413.0
Kano,12.03916,8.56084,Mini Flat,Sale,Old,Parking,5.0,4.0,471.0,334477118.0
Kano,12.04748,8.56583,Apartment,Rent,Fairly Used,Internet,1.0,2.0,68.0,11898445.0
Maiduguri,11.81267,13.18014,Apartment,Rent,Fairly Used,Water,3.0,2.0,101.0,72739916.0
Lagos,6.49478,3.35527,Detached House,Sale,Old,Security,6.0,4.0,576.0,76847531.0
Enugu,6.54762,7.4819,Appartment,Sale,Fairly Used,Security,5.0,2.0,172.0,37650069.0
Kano,11.95512,8.59602,Duplex,Rent,New,Internet,6.0,2.0,183.0,451859769.0
Port harcourt,4.80381,7.00262,Apartment,Sale,New,Security,1.0,4.0,499.0,397648125.0
Kaduna,10.49369,7.46861,Mini Flat,Rent,Fairly Used,Parking,3.0,3.0,213.0,463355666.0
Jos,9.93682,8.87967,Studio,Sale,Old,Parking,1.0,4.0,493.0,48999208.0
Kano,11.95379,8.60352,Appartment,Sale,New,Security,5.0,2.0,247.0,58479049.0
Enugu,6.54701,7.55038,Appartment,Sale,Old,Parking,4.0,1.0,241.0,52599764.0
Jos,9.89543,8.83691,Apartment,Rent,Fairly Used,Internet,5.0,2.0,160.0,304695710.0
Maiduguri,11.79062,13.10375,Detached House,Sale,New,Internet,4.0,4.0,117.0,7243174.0
Port harcourt,4.84016,7.09936,Appartment,Rent,New,Internet,4.0,4.0,190.0,20130723.0
Abuja,9.12167,7.38057,Apartment,Sale,Fairly Used,Electricity,6.0,4.0,317.0,335965519.0
Kano,11.99877,8.56592,Duplex,Sale,Fairly Used,Water,4.0,3.0,262.0,175914313.0
Port harcourt,4.76838,7.02447,Duplex,Rent,New,Water,5.0,3.0,421.0,33849424.0
Enugu,6.49432,7.50108,Appartment,Rent,Old,Water,6.0,2.0,466.0,250229570.0
Maiduguri,11.80733,13.14461,Bungalow,Rent,Old,Water,1.0,4.0,454.0,9308201.0
Enugu,6.49964,7.52428,Bungalow,Rent,New,Parking,3.0,2.0,200.0,164015386.0
Benin city,6.3546,5.57752,Detached House,Sale,Fairly Used,Internet,1.0,3.0,248.0,60734685.0
Abuja,9.05596,7.37447,Duplex,Rent,Old,Electricity,5.0,4.0,548.0,64002678.0
Abuja,9.03516,7.41552,Detached House,Rent,Old,Water,2.0,1.0,450.0,224361965.0
Enugu,6.50497,7.51105,Mini Flat,Sale,Old,Water,4.0,2.0,307.0,53659302.0
Enugu,6.56625,7.54901,Detached House,Rent,New,Security,3.0,4.0,217.0,148034408.0
Port harcourt,4.81926,7.09328,Mini Flat,Rent,New,Internet,5.0,1.0,311.0,48682092.0
Kaduna,10.55313,7.40165,Duplx,Rent,Old,Internet,3.0,3.0,318.0,380425469.0
Lagos,6.5345,3.33263,Apartment,Rent,New,Parking,4.0,3.0,412.0,17855977.0
Kaduna,10.56441,7.46854,Bungalow,Rent,Fairly Used,Security,5.0,1.0,207.0,354148217.0
Benin city,6.36057,5.56068,Appartment,Rent,New,Electricity,2.0,2.0,69.0,478741439.0
Maiduguri,11.85685,13.18198,Mini Flat,Sale,New,Electricity,6.0,2.0,398.0,355458309.0
Lagos,6.52531,3.34395,Mini Flat,Rent,Old,Water,1.0,4.0,366.0,422700270.0
Ibadan,7.37137,3.95108,Apartment,Sale,Old,Parking,6.0,4.0,313.0,41987407.0
Jos,9.91066,8.81064,Detached House,Rent,Old,Water,5.0,4.0,296.0,146277824.0
Jos,9.85043,8.87379,Bungalow,Rent,Old,Internet,4.0,1.0,515.0,355911086.0
Port harcourt,4.85509,7.00222,Duplex,Sale,Fairly Used,Parking,5.0,4.0,533.0,257770861.0
Ibadan,7.42457,3.91457,Duplex,Sale,Fairly Used,Internet,5.0,4.0,296.0,270296787.0
Jos,9.87329,8.8687,Duplx,Sale,Fairly Used,Electricity,3.0,1.0,541.0,448730704.0
Ibadan,7.42083,3.98287,Appartment,Sale,New,Parking,5.0,3.0,152.0,67166972.0
Benin city,6.29881,5.62833,Apartment,Sale,New,Internet,1.0,1.0,496.0,89960491.0
Enugu,6.56345,7.51553,Studio,Rent,New,Internet,4.0,1.0,134.0,74309146.0
Maiduguri,11.78846,13.10634,Appartment,Rent,Fairly Used,Water,3.0,1.0,581.0,97716177.0
Kano,11.99364,8.61085,Appartment,Rent,Old,Security,5.0,2.0,143.0,64434790.0
Benin city,6.35475,5.59997,Duplex,Rent,New,Internet,1.0,2.0,508.0,72627929.0
Kaduna,10.54013,7.39597,Mini Flat,Sale,New,Electricity,3.0,4.0,489.0,199531027.0
Ibadan,7.37303,3.98784,Bungalow,Sale,Fairly Used,Electricity,5.0,1.0,193.0,268310099.0
Maiduguri,11.78332,13.13137,Studio,Sale,Old,Water,3.0,3.0,171.0,52888479.0
Maiduguri,11.79923,13.1722,Appartment,Rent,Fairly Used,Parking,3.0,1.0,265.0,99312216.0
Abuja,9.04639,7.37263,Mini Flat,Rent,Old,Water,3.0,1.0,288.0,9782634.0
Jos,9.88387,8.84711,Studio,Rent,Old,Internet,3.0,2.0,310.0,288265390.0
Maiduguri,11.82988,13.13246,Apartment,Sale,Old,Water,6.0,4.0,294.0,300154676.0
Enugu,6.5152,7.52735,Bungalow,Rent,Old,Parking,1.0,3.0,353.0,83785837.0
Lagos,6.50939,3.39195,Studio,Sale,New,Electricity,5.0,1.0,374.0,385092106.0
Port harcourt,4.85139,7.03069,Bungalow,Sale,New,Internet,5.0,2.0,348.0,185559551.0
Jos,9.87871,8.86616,Detached House,Sale,Fairly Used,Internet,2.0,1.0,410.0,7761434.0
Abuja,9.07776,7.39447,Detached House,Sale,Fairly Used,Electricity,4.0,4.0,358.0,269878099.0
Enugu,6.53608,7.51846,Duplx,Rent,Old,Parking,4.0,4.0,81.0,276270947.0
Jos,9.909,8.8937,Mini Flat,Rent,New,Water,4.0,2.0,316.0,64982807.0
Port harcourt,4.82969,7.03084,Detached House,Rent,New,Electricity,1.0,4.0,240.0,55636017.0
Kaduna,10.56959,7.45595,Apartment,Rent,New,Electricity,6.0,4.0,540.0,26555117.0
Kano,11.97781,8.55393,Appartment,Sale,Old,Parking,2.0,4.0,463.0,431874602.0
Maiduguri,11.81679,13.19995,Bungalow,Rent,Old,Parking,3.0,3.0,502.0,67852304.0
Port harcourt,4.82997,7.06073,Bungalow,Rent,Old,Electricity,2.0,1.0,316.0,50124750.0
Lagos,6.53739,3.33098,Appartment,Rent,Fairly Used,Internet,4.0,1.0,188.0,389460602.0
Benin city,6.29041,5.57165,Studio,Rent,Fairly Used,Parking,3.0,4.0,333.0,91438602.0
Maiduguri,11.78203,13.14706,Duplex,Sale,New,Parking,3.0,3.0,120.0,138285173.0
Kaduna,10.55132,7.41664,Duplex,Sale,Old,Security,4.0,3.0,96.0,174660202.0
Jos,9.87474,8.89183,Studio,Sale,New,Internet,6.0,1.0,542.0,2531562.0
Benin city,6.38189,5.64173,Detached House,Rent,Old,Security,4.0,2.0,202.0,56194613.0
Maiduguri,11.80367,13.10309,Appartment,Sale,New,Electricity,3.0,1.0,519.0,420872214.0
Kaduna,10.52051,7.42151,Detached House,Sale,Old,Parking,2.0,2.0,570.0,72618176.0
Enugu,6.48163,7.52767,Studio,Sale,Fairly Used,Security,1.0,2.0,513.0,91496768.0
Enugu,6.55165,7.47569,Studio,Rent,New,Electricity,2.0,4.0,47.0,53465590.0
Abuja,9.03482,7.37794,Bungalow,Rent,New,Electricity,3.0,2.0,118.0,414795772.0
Maiduguri,11.86739,13.14854,Duplex,Sale,Fairly Used,Internet,2.0,2.0,211.0,155858319.0
Kano,12.03529,8.54606,Bungalow,Rent,New,Security,4.0,1.0,224.0,380137058.0
Ibadan,7.34158,3.91949,Mini Flat,Sale,New,Water,6.0,4.0,458.0,76318674.0
Ibadan,7.33145,3.89845,Bungalow,Rent,Fairly Used,Electricity,2.0,1.0,477.0,80910646.0
Benin city,6.34279,5.60384,Duplex,Sale,Old,Electricity,1.0,1.0,360.0,48053730.0
Kaduna,10.47846,7.44847,Mini Flat,Sale,New,Parking,1.0,2.0,116.0,464486264.0
Abuja,9.09892,7.4394,Bungalow,Sale,Old,Parking,4.0,2.0,536.0,70443860.0
Enugu,6.51334,7.55263,Detached House,Sale,Fairly Used,Electricity,1.0,3.0,88.0,79830733.0
Maiduguri,11.79774,13.17964,Appartment,Rent,Old,Parking,6.0,2.0,336.0,345721048.0
Port harcourt,4.85605,7.05012,Detached House,Rent,New,Water,6.0,2.0,154.0,80918401.0
Kano,11.99838,8.63293,Detached House,Rent,New,Parking,1.0,3.0,108.0,80157405.0
Port harcourt,4.83752,7.08797,Duplx,Rent,New,Security,1.0,2.0,468.0,23437512.0
Abuja,9.10292,7.40686,Duplx,Sale,New,Security,6.0,1.0,399.0,99549745.0
Lagos,6.50464,3.40877,Appartment,Rent,New,Water,5.0,4.0,242.0,18795119.0
Kano,12.03207,8.56623,Detached House,Sale,Fairly Used,Security,6.0,4.0,284.0,34453667.0
Ibadan,7.32974,3.90198,Bungalow,Sale,Fairly Used,Water,3.0,3.0,201.0,159812176.0
Ibadan,7.40617,3.93089,Duplex,Rent,Fairly Used,Electricity,1.0,2.0,357.0,79807451.0
Port harcourt,4.78849,7.01196,Studio,Sale,New,Internet,6.0,2.0,475.0,449386049.0
Port harcourt,4.84752,7.00779,Apartment,Sale,Fairly Used,Parking,3.0,2.0,400.0,390676639.0
Abuja,9.03465,7.4129,Bungalow,Rent,Old,Water,2.0,3.0,372.0,57679345.0
Kano,11.99423,8.59961,Studio,Rent,New,Internet,3.0,4.0,354.0,64678143.0
Maiduguri,11.86897,13.13669,Studio,Sale,Fairly Used,Electricity,2.0,1.0,448.0,88424389.0
Port harcourt,4.86244,7.08852,Apartment,Sale,Fairly Used,Security,1.0,1.0,360.0,54120735.0
Ibadan,7.3835,3.94204,Detached House,Rent,Fairly Used,Parking,4.0,1.0,490.0,277200850.0
Kano,12.0142,8.55664,Appartment,Rent,Fairly Used,Water,1.0,1.0,311.0,492281266.0
Jos,9.85267,8.82917,Detached House,Rent,Old,Internet,4.0,2.0,533.0,129177514.0
Ibadan,7.38105,3.98889,Appartment,Sale,Old,Water,4.0,1.0,237.0,30104750.0
Ibadan,7.41905,3.97466,Duplex,Sale,Old,Water,6.0,1.0,435.0,22961953.0
Port harcourt,4.76642,7.08777,Mini Flat,Rent,New,Water,4.0,2.0,105.0,98984295.0
Port harcourt,4.81649,7.04629,Studio,Rent,Old,Internet,3.0,1.0,347.0,309713648.0
Port harcourt,4.78259,7.03811,Apartment,Rent,Fairly Used,Parking,3.0,3.0,69.0,415171676.0
Maiduguri,11.88009,13.14169,Duplx,Rent,Fairly Used,Water,5.0,1.0,62.0,18681715.0
Kaduna,10.49288,7.45084,Mini Flat,Sale,Fairly Used,Electricity,1.0,2.0,487.0,64377907.0
Abuja,9.10508,7.37823,Bungalow,Sale,New,Internet,3.0,1.0,238.0,79411804.0
Benin city,6.36728,5.56585,Duplx,Sale,Old,Security,4.0,2.0,247.0,207133605.0
Jos,9.89934,8.90445,Duplx,Rent,Old,Electricity,4.0,3.0,69.0,34883013.0
Ibadan,7.33084,3.93557,Duplex,Sale,New,Internet,1.0,4.0,255.0,306631647.0
Benin city,6.37455,5.55739,Duplex,Sale,Fairly Used,Electricity,2.0,4.0,457.0,12864648.0
Port harcourt,4.81515,7.01046,Detached House,Sale,Fairly Used,Parking,4.0,4.0,446.0,425356033.0
Jos,9.92572,8.88411,Studio,Rent,Fairly Used,Internet,5.0,1.0,191.0,349191075.0
Port harcourt,4.82167,7.08159,Detached House,Sale,Fairly Used,Internet,3.0,3.0,347.0,41201493.0
Lagos,6.54484,3.41824,Studio,Sale,Old,Water,4.0,3.0,463.0,96506732.0
Ibadan,7.38215,3.93922,Duplex,Rent,Old,Parking,2.0,2.0,576.0,240970544.0
Port harcourt,4.80573,7.00263,Duplex,Rent,New,Security,4.0,3.0,285.0,24216450.0
Lagos,6.56826,3.36089,Mini Flat,Sale,Fairly Used,Security,2.0,3.0,207.0,230960526.0
Ibadan,7.41373,3.93153,Detached House,Rent,New,Security,5.0,2.0,227.0,484870445.0
Abuja,9.12606,7.35626,Bungalow,Sale,New,Electricity,6.0,3.0,557.0,49033364.0
Port harcourt,4.76952,7.0934,Appartment,Sale,New,Internet,4.0,1.0,557.0,87012608.0
Enugu,6.49164,7.53057,Detached House,Sale,Fairly Used,Internet,6.0,2.0,165.0,55207428.0
Ibadan,7.34632,3.89783,Studio,Sale,New,Internet,2.0,2.0,263.0,99041727.0
Benin city,6.37754,5.64055,Mini Flat,Rent,Fairly Used,Internet,2.0,2.0,438.0,221249121.0
Kano,11.98354,8.55684,Detached House,Rent,Fairly Used,Security,5.0,3.0,251.0,219794212.0
Lagos,6.53827,3.36797,Apartment,Rent,Old,Security,6.0,4.0,72.0,325442210.0
Benin city,6.30989,5.62915,Detached House,Rent,Old,Electricity,3.0,2.0,342.0,66288166.0
Kano,12.03239,8.61458,Duplex,Sale,Fairly Used,Internet,5.0,4.0,204.0,60495708.0
Abuja,9.10688,7.4039,Detached House,Rent,Fairly Used,Parking,2.0,1.0,326.0,71391447.0
Lagos,6.56646,3.42269,Duplex,Rent,New,Security,5.0,2.0,455.0,497907055.0
Ibadan,7.35719,3.97936,Studio,Rent,Fairly Used,Security,6.0,1.0,373.0,31520915.0
Benin city,6.32272,5.6446,Duplx,Sale,Fairly Used,Water,5.0,2.0,277.0,351390799.0
Kano,11.96049,8.55212,Studio,Sale,Old,Internet,4.0,3.0,480.0,211052181.0
Abuja,9.05714,7.39869,Bungalow,Sale,Fairly Used,Security,6.0,1.0,578.0,62056664.0
Kaduna,10.56947,7.39024,Duplex,Rent,New,Electricity,6.0,4.0,583.0,56284078.0
Enugu,6.56231,7.49905,Duplx,Rent,Old,Water,3.0,4.0,423.0,268214125.0
Kaduna,10.53883,7.47926,Studio,Rent,Fairly Used,Electricity,5.0,2.0,192.0,95394213.0
Jos,9.86516,8.87193,Detached House,Sale,New,Parking,1.0,1.0,128.0,310968988.0
Abuja,9.09241,7.35366,Bungalow,Rent,Old,Water,6.0,4.0,238.0,44488295.0
Ibadan,7.36107,3.94999,Mini Flat,Sale,New,Parking,4.0,1.0,180.0,7313499.0
Port harcourt,4.76951,7.09442,Detached House,Sale,Old,Parking,1.0,3.0,139.0,291000498.0
Abuja,9.12183,7.43365,Detached House,Sale,Old,Parking,4.0,3.0,169.0,57012563.0
Benin city,6.32647,5.55548,Bungalow,Sale,Fairly Used,Security,2.0,4.0,253.0,184105255.0
Benin city,6.32297,5.55376,Duplex,Rent,Old,Internet,1.0,1.0,195.0,305958893.0
Port harcourt,4.7973,7.02115,Mini Flat,Sale,Fairly Used,Electricity,1.0,4.0,599.0,190245379.0
Kaduna,10.56744,7.45194,Apartment,Rent,Fairly Used,Parking,4.0,4.0,146.0,88498785.0
Ibadan,7.35932,3.91159,Duplx,Sale,Fairly Used,Security,2.0,3.0,164.0,239923336.0
Lagos,6.57217,3.40826,Bungalow,Sale,Fairly Used,Electricity,6.0,1.0,174.0,80791377.0
Kaduna,10.49916,7.4178,Detached House,Sale,Old,Electricity,1.0,1.0,450.0,374970238.0
Ibadan,7.41704,3.97307,Bungalow,Rent,New,Security,2.0,3.0,467.0,67686427.0
Lagos,6.54805,3.42173,Bungalow,Rent,Fairly Used,Internet,1.0,3.0,525.0,35001263.0
Enugu,6.48307,7.4703,Appartment,Sale,New,Electricity,1.0,3.0,336.0,485168376.0
Enugu,6.48901,7.52184,Duplex,Sale,Old,Electricity,4.0,2.0,261.0,266009865.0
Kano,11.98308,8.57343,Mini Flat,Rent,Fairly Used,Security,6.0,4.0,429.0,89577925.0
Maiduguri,11.85194,13.10997,Mini Flat,Rent,Fairly Used,Security,5.0,1.0,568.0,73716605.0
Kaduna,10.50404,7.43811,Detached House,Sale,New,Internet,1.0,1.0,283.0,32405486.0
Lagos,6.50682,3.38852,Duplx,Sale,Fairly Used,Internet,1.0,1.0,502.0,337140054.0
Abuja,9.04513,7.38499,Studio,Rent,Fairly Used,Security,3.0,3.0,232.0,465062884.0
Jos,9.86331,8.82473,Mini Flat,Rent,New,Internet,2.0,1.0,253.0,195962194.0
Ibadan,7.36981,3.98293,Studio,Sale,Fairly Used,Parking,2.0,3.0,559.0,89860116.0
Jos,9.90439,8.86051,Duplx,Rent,New,Parking,4.0,4.0,347.0,45933164.0
Abuja,9.04228,7.38781,Studio,Rent,Old,Water,6.0,1.0,395.0,201334989.0
Kano,12.02519,8.61683,Studio,Sale,New,Security,5.0,1.0,270.0,66991431.0
Kano,11.98401,8.55701,Mini Flat,Sale,New,Security,2.0,1.0,58.0,59290806.0
Enugu,6.49382,7.50016,Bungalow,Rent,Fairly Used,Electricity,3.0,1.0,571.0,263094941.0
Ibadan,7.40111,3.9483,Apartment,Rent,Fairly Used,Water,6.0,4.0,316.0,447572221.0
Kaduna,10.49859,7.44166,Duplx,Rent,Fairly Used,Parking,5.0,3.0,185.0,92074467.0
Enugu,6.54868,7.47584,Detached House,Sale,Fairly Used,Parking,2.0,1.0,40.0,71704037.0
Kano,11.97475,8.60334,Duplx,Sale,New,Security,4.0,2.0,127.0,56921960.0
Enugu,6.48911,7.53514,Duplex,Rent,Fairly Used,Parking,2.0,2.0,93.0,490223588.0
Kano,12.01642,8.63699,Duplx,Rent,Old,Internet,1.0,4.0,437.0,81441650.0
Benin city,6.29503,5.55645,Detached House,Sale,New,Security,2.0,1.0,278.0,185881208.0
Ibadan,7.39739,3.99695,Duplx,Sale,Old,Water,5.0,2.0,208.0,74493040.0
Port harcourt,4.81599,7.06786,Apartment,Rent,Fairly Used,Water,5.0,3.0,175.0,344845807.0
Enugu,6.47499,7.46337,Mini Flat,Rent,New,Electricity,3.0,3.0,330.0,182043348.0
Ibadan,7.37387,3.90735,Apartment,Rent,Old,Security,6.0,3.0,108.0,175904338.0
Kano,12.03068,8.63311,Mini Flat,Sale,New,Security,1.0,2.0,504.0,92585614.0
Port harcourt,4.8498,7.07183,Duplex,Sale,Old,Internet,4.0,4.0,48.0,73434032.0
