Title,Price,Location,Description
3bdrm Block of Flats in Agbowo for sale,"₦ 50,000,000",Agbowo,"DIRECT BRIEF FOR SALE 3bedroom of 4flat at Barika, U.I area, Ibadan. Title: Registered survey..."
"8bdrm Bungalow in Sango, Ibadan Polytechnic/University for sale","₦ 14,000,000",Ibadan Polytechnic/University,Dilapitated house on about plot of land for sale at Sango Ibadan Property for sale in a strategic...
4bdrm Duplex in Jericho for sale,"₦ 170,000,000",Jericho,4 bedroom duplex at nihort junction idi ishin area jericho ibadan Above are newly built detached 4...
Furnished 4bdrm Duplex in Oluyole Estate for sale,"₦ 125,000,000",Oluyole Estate,4 bedroom duplex with BQ at oluyole golden gate ibadan *Newly built 4 bedroom duplex)+bq Oluyole...
3bdrm Duplex in Akobo Ibadan Carlton for sale,"₦ 120,000,000",Ibadan,"#markprizepo#08#02#2025 ■● Modern, New and Exquisitely detailed 3 bedrooms Semi detached duplexes,..."
4bdrm Apartment in Ajibode for sale,"₦ 12,000,000",Ajibode,"A 4 bedroom flat for sale at Laaniba, Ogodu Ajibode University of Ibadan, Ibadan Description: Fairly..."
"Furnished 4bdrm Duplex in S&T, Jericho for sale","₦ 350,000,000",Jericho,"Fully Furnished 4 bedroom detached duplex with gatehouse and BQ at S&T (Military) Estate, Jericho..."
"Furnished 5bdrm Bungalow in Kobiowu Crescent, Iyanganku for sale","₦ 500,000,000",Iyanganku,This 2500m2 is in the prestigious Kobiowu Crescent at Iyaganku GRA it has a beautiful bungalow on...
"4bdrm Duplex in Ikolaba Estate, for sale","₦ 250,000,000",Bodija,"Luxurious Fully detached 4 bedroom Duplexes inside Ikolaba Estate, Ibadan Description: Luxurious..."
"4bdrm Duplex in Emmanuel Estate, Jericho for sale","₦ 180,000,000",Jericho,"For sale Luxury 2 Units Of Newly Built 4Bedrooms Duplex with a room BQ Location : Emmanuel Estate,..."
"3bdrm Bungalow in Adron West Park And, Ibadan for sale","₦ 30,000,000",Ibadan,"3 bedroom bungalow with 2 sitting room available for sale at West Park and Gardens, Phase 1, Ibadan...."
"16bdrm House in Adjacent Noun, Ibadan Polytechnic/University for sale","₦ 83,000,000",Ibadan Polytechnic/University,The Commercial Building is situated right on the major Poly/Eleyele Road . It was originally a 16...
"Furnished 4bdrm Duplex in Military Estate, Ibadan for sale","₦ 350,000,000",Ibadan,"S&T Estate, Jericho GRA Ibadan Fully Furnished 4 bedroom detached duplex with gatehouse and BQ at..."
4bdrm Duplex in Ologuneru Ibadan for sale,"₦ 60,000,000",Ologuneru,For sale A specious 4 bedroom duplex with new modern facilities. Located at Ologuneru Temidayo...
"4bdrm Bungalow in Teller Estate, Akobo for sale","₦ 20,000,000",Akobo,"4 bedrooms all en suite with security House fenced but not gated, roofed completed Contact for..."
"3bdrm Bungalow in Gloverwood Bungalows, Ologuneru for sale","₦ 60,900,000",Ologuneru,"*the gloverwood bungalows* *eleyele-ido, ibadan* _by elanorris_ the gloverwood consists of..."
"4bdrm Block of Flats in Aworawo, Ojoo for sale","₦ 40,000,000",Ojoo,Two units of 4bedroom & 3bedroom with a garage on 801sqm land. Benefits Well fenced and...
"2bdrm Bungalow in Elanorris Gloverwood, Ologuneru for sale","₦ 50,900,000",Ologuneru,The gloverwood consists of multiple units of detached 2 & 3 bedroom bungalows with maid's room &...
"3bdrm Block of Flats in Akinbode, Alakia for sale","₦ 140,000,000",Alakia,"4 Flats of 3-Bedroom Each for Sale at Akinbode, Oluwo New Ife Express Road Full POP ceiling All..."
"Furnished 4bdrm Duplex in Salami Estate, Bodija for sale","₦ 270,000,000",Bodija,*4 Beds / Bodija For Sale !! Furnished 4 Beds Fully Detached Duplex With Swimming Pool & Bq in high...
3bdrm Bungalow in Eleyele for sale,"₦ 65,000,000",Eleyele,Modern Newly Built 3 Bedroom Detached Bungalow Security house with Solar inverter in a lovely...
"4bdrm Block of Flats in Graceland Estate, Ibadan for sale","₦ 90,000,000",Ibadan,"4 no. modern 3 bedroom flat for sale in elebu area, off akala express, oluyole extension,..."
"4bdrm Duplex in Kolapo Ishola Gra, Ibadan for sale","₦ 270,000,000",Ibadan,"**Exclusive Sale: Stunning 4-Bedroom Duplex** Discover your dream home in Kolapo Ishola GRA, Akobo,..."
"4bdrm Bungalow in Harmony, Ologuneru for sale","₦ 35,000,000",Ologuneru,4 bedroom apartments subdivided into two bedrooms available at Idiobi ido eruwa road ologuneru...
Furnished 5bdrm Bungalow in Ibadan for sale,"₦ 28,500,000",Ibadan,PROPERTY FOR SALE IN IBADAN Neatly built and fully fenced 5-bedroom flat with an uncompleted room...
"1bdrm Apartment in Alalubosa, Alakia for sale","₦ 7,000,000",Alakia,"*FOR SALE Room & Parlour Self-Contained* Alalubosa, behind Nigerian Brewery, near *New Gbagi..."
"3bdrm Block of Flats in Akingbade, Alakia for sale","₦ 35,000,000",Alakia,"4 Units* of 3-Bedroom Flats for Sale ‎ Location: *Akingbade, New Gbagi Market, Old Ife Road,..."
"2bdrm Block of Flats in Ringroad, Ibadan for sale","₦ 65,000,000",Ibadan,This is a Block of Flats at Ringroad behind the New Glo Office. This is perfect for all commercial...
"3bdrm Block of Flats in Behind Owu Crown, Iwo Road for sale","₦ 55,000,000",Iwo Road,4 units of 3 Beds Flat + 2 beds chalet Situated in a serene environment Fenced & gated just 1...
3bdrm Duplex in Carlton Gate Estate for sale,"₦ 135,000,000",Ibadan,#Markprize#Pol#05#04#2025 A 3-bedroom detached duplex situated on a 481 sqm corner plot in Carlton...
"3bdrm Bungalow in Ayekale, Ibadan for sale","₦ 22,000,000",Ibadan,For Sell 2nos bungalow 3 and 2 Bedrooms on a full plot. Location: Ibadan iwo road by Ayekale...
"4bdrm Duplex in Association Street, Ibadan for sale","₦ 180,000,000",Ibadan,We have 4 bed room semi detached duplex and 2 bedroom semi detached duplex for sale in Ashi . It is...
"4bdrm Bungalow in Akobo, Ibadan for sale","₦ 70,000,000",Ibadan,"This is a lovely 4 Bedroom bungalow, with two living rooms and top notch modern facilities at Akobo..."
"3bdrm Bungalow in Akpata Ibadan, Apata for sale","₦ 33,000,000",Apata,~for sale 3 bedroom flat bungalow all rooms ensuite with pop and 1 unit of self-contain. fenced and...
3bdrm Bungalow in Ibadan for sale,"₦ 20,000,000",Ibadan,"Property for sale in ibadan uncompleted 3 bedroom flat with room and parlour self contained bq,..."
"5bdrm Duplex in Olive Court, Agodi for sale","₦ 200,000,000",Agodi,*4 Beds / Agodi GRA /* FOR SALE 5 Bedroom Fully Detached Duplex Home with a room BQ in a highly...
16bdrm Block of Flats in Agodi Gate for sale,"₦ 35,000,000",Agodi,"16 rooms tenement building at ik dairo, agodi gate. suitable for hostel and apartments"
"5bdrm Duplex in Onireke Gra, Jericho for sale","₦ 175,000,000",Jericho,"For sale in onireke gra, jericho road, ibadan. -units of detached 5 bedrooms duplexes (penthouses)..."
5bdrm Duplex in Oluyole Estate for sale,"₦ 250,000,000",Oluyole Estate,"Newly Built Luxury 5 Bedroom Duplex + BQ at Oluyole Estate, Ibadan. This property is semi-furnished..."
"Furnished 4bdrm Duplex in Owode Phase 11, Apata for sale","₦ 92,000,000",Apata,"FORT COURT ESTATE PRICE UPDATE* Discover a harmonious blend of luxury, comfort and strategic..."
"6bdrm Duplex in Mosfala Estate, Ibadan for sale","₦ 55,000,000",Ibadan,"Property Features: 4-Bedroom Duplex Spacious, well-designed rooms for ultimate comfort. A dedicated..."
"Furnished 3bdrm Duplex in Kolapo Ishola, Ibadan for sale","₦ 300,000,000",Ibadan,"FOR SALE: Newly Built 3 Bedroom Detached Duplex @ Kolapo Ishola G R.A, Ibadan. (Gated and Fully..."
"4bdrm Duplex in Emmanuel Estate,, Idishin for sale","₦ 170,000,000",Idishin,"*FOR SALE* 2 Units Of Newly Built 4Bedrooms Duplex with a room BQ for sale at : Emmanuel Estate,..."
"Furnished 4bdrm Duplex in Association, Ibadan for sale","₦ 160,000,000",Ibadan,2 units of 4bedroom Duplex available for sale
4bdrm Bungalow in Ibadan for sale,"₦ 12,000,000",Ibadan,"For Sale A 4bedrooms bungalow on a standard plot of land at Ire-Akari, road 5, Ayegun Oleyo area off..."
"Furnished 5bdrm Duplex in Kolapo Ishola, Ibadan for sale","₦ 120,000,000",Ibadan,Semi direct brief: for sale at gra. a exquisite 5 bedroom detached duplex with room and a living...
"Furnished 3bdrm House in Adron Court Jericho, Ibadan for sale","₦ 100,000,000",Ibadan,Adron Court Jericho Ibadan
3bdrm Bungalow in Ologuneru for sale,"₦ 60,000,000",Ologuneru,FOR SALE: Tastefully Finished 3-Bedroom Bungalow with BQ + Solar Power Flexible 3-Month Payment...
"Furnished 3bdrm Duplex in Beloved, Idishin for sale","₦ 50,000,000",Idishin,The house is just a year and few months built and it is located in a serene and quiet neighborhood....
"Furnished 4bdrm Duplex in Oluyole Estate, Ibadan for sale","₦ 300,000,000",Ibadan,"Duplexes FOR SALE at Star Gate Oluyole Estate, Ibadan 4 Bedroom Duplexes (Gated and Fully Secured..."
3bdrm Bungalow in Greenville Estate for sale,"₦ 25,000,000",Ibadan,3bedroom bungalow available for sale at Greenville's estate Akala express way Akala
"4bdrm Bungalow in Lannisa Estate, Akala Express for sale","₦ 8,500,000",Akala Express,"*HEAVY DISTRESS SALES* *FOR SALE* Uncompleted 3bedroom bungalow at lintel level , build on one and..."
3bdrm Bungalow in Ibadan for sale,"₦ 35,000,000",Ibadan,"3 bedroom and 2 bedroom twin bungalow for sale at jiboye ,command apata ibadan Oyo state Agency..."
"4bdrm Duplex in Okebadan Estate, Akobo for sale","₦ 70,000,000",Akobo,duplex for sale in akobo* *tastefully finished luxurious 4 bedroom duplex with state of the art...
1bdrm Apartment in Agbowo for sale,"₦ 150,000,000",Agbowo,21 Self-Contained Rooms for Sale Near University of Ibadan A solid income-generating property in a...
"Furnished 4bdrm Duplex in Gbopa, Ologuneru for sale","₦ 85,000,000",Ologuneru,"Discover comfort, style, and class in this beautifully finished 4-bedroom duplex, built on a 470..."
"4bdrm Duplex in Malami Estate, Ibadan for sale","₦ 180,000,000",Ibadan,"There's an 90% completed 4 bedroom bedroom duplex in Malami Estate, Oluyole for 180m Not far from..."
"7bdrm Mansion in Ajadi Estate, Ologuneru for sale","₦ 65,000,000",Ologuneru,"7 Bedroom uncompleted building , in a serene environments , Located in the heart of Ologuneru Ibadan..."
6bdrm House in Peace Estate Iyana for sale,"₦ 65,000,000",Ibadan,4bedroom bungalow with Extra 2 room and palour available for sale at peace estate iyana agbala...
3bdrm Bungalow in 🏡📍Olofa Royal for sale,"₦ 65,000,000",Akala Express,For sale Newly Built 3 Bedrooms Bungalow Home + Bq & Security Post In fully developed residential...
Furnished 2bdrm Duplex in Alakia for sale,"₦ 160,000,000",Alakia,"4 unit of a 2 bedroom duplex at Alakia, by Optimed pharmacy, 2 each in d compound, different gate..."
4bdrm Duplex in Oluyole Estate for sale,"₦ 100,000,000",Oluyole Estate,For Sale Price Slashed (NOW 100M NET) A detached 4-bedroom duplex attached with a 2-bedroom flat...
"5bdrm Duplex in Adex Area, Monatan, Iwo Road for sale","₦ 92,000,000",Iwo Road,All room Ensuite * 2 Living rooms with waiting rooms * 2 bedroom BQ * Reading room * Functional...
Furnished 2bdrm Block of Flats in Akobo for sale,"₦ 75,000,000",Akobo,A standard two units of 2 bedroom flats and two units of 3 bedroom flats for sale along Ọlọhun da...
"18bdrm House in Olugbode Area, Odo for sale","₦ 38,000,000",Apata,This is very strategic mixed-use six units of 3 bedrooms apartments in a solid storey building very...
Furnished 3bdrm Bungalow in Bodija for sale,"₦ 80,000,000",Bodija,Features - Running water - Access road - All rooms en-suite - Visitors toilet - Car park up to 4...
"Furnished 8bdrm Duplex in Associate, Bodija for sale","₦ 110,000,000",Bodija,"Well standing 5 bedroom duplex with twin building of four bedroom flat standing, Same compound...."
"5bdrm Penthouse in Yemoja Street , for sale","₦ 465,000,000",Oluyole Estate,Luxury home na water FOR SALE Newly built luxury & smart 5bedroom penthouse + BQ + gate house...
4bdrm Duplex in Oluyole Estate for sale,"₦ 160,000,000",Oluyole Estate,"4 bedroom duplex with BQ at Aare, Oluyole Estate Ibadan Brand new 2 units of fully detached..."
"4bdrm Bungalow in Oluwo Kekere Estate, Basorun for sale","₦ 160,000,000",Basorun,"` |need to sell very fast|` *_|available sales project|_* a contemporary newly built, structurally..."
4bdrm Duplex in Bodija for sale,"₦ 165,000,000",Bodija,*| NEED TO SELL VERY FAST| * *”AVAILABLE SALE LISTINGS”* A Contemporary newly built and structurally...
"4bdrm Duplex in S&T Estate, Jericho for sale","₦ 330,000,000",Jericho,4 bedroom detached duplex plus a room BQ at S&T Estate Jericho Price: ₦330m Source(Opeyemi e)
3bdrm Duplex in Loyola College Old for sale,"₦ 160,000,000",Ibadan,"For sale An uncompleted terraces of 3bedrooms each at loyola college Old Ofe road near Gate, Ibadan..."
Furnished 5bdrm Duplex in Akala Express for sale,"₦ 170,000,000",Akala Express,"A Block of 5 bedroom Duplex, with a two 3 bedroom flats in a separate compounds at Asunle, Akala..."
"6bdrm Bungalow in Onibuore, Iwo Road for sale","₦ 20,000,000",Iwo Road,"Distress sale 2 nos of 3 bedroom flat for sale at onibuore, Iworoad, Ibadan. In a very strategic..."
"4bdrm Duplex in Akoto Estate , Elebu for sale","₦ 170,000,000",Akala Express,Luxury Living Awaits You *FOR SALE* newly built fully detached 4-bedroom duplex + BQ + gate house...
4bdrm Duplex in Jericho for sale,"₦ 350,000,000",Jericho,"4 bedroom duplex at S&T gated Estate, Jericho GRA Ibadan Fully Furnished 4 bedroom detached duplex..."
3bdrm Bungalow in Oluyole Estate for sale,"₦ 75,000,000",Oluyole Estate,"*FOR SALE* A 3 bedroom detached Bungalow on 579sqm Location: Off Johnson Awe, Oluyole extension..."
4bdrm Duplex in Akala Express for sale,"₦ 125,000,000",Akala Express,"Luxury living at its finest! This stunning 4-bedroom duplex with boys quarter, 5 bathrooms, perfect..."
"Furnished 4bdrm Duplex in Lere Adigun Gra, Akobo for sale","₦ 170,000,000",Akobo,Fresh beautiful 4 bedroom duplexes at lere adigun gra we have fully detached 8 units of...
"4bdrm Bungalow in Agoro Power Line, Ibadan for sale","₦ 38,000,000",Ibadan,Good morning... This 3 bedroom standard bungalow with all rooms ensuite and an extra free room which...
"1bdrm Block of Flats in Rotimi William, Bodija for sale","₦ 800,000,000",Bodija,Hot Land for Sale Investment Opportunity in the city of #Ibadan @ Almighty Bodija for sale Rotimi...
4bdrm Duplex in Akala Express for sale,"₦ 60,000,000",Akala Express,"Uncompleted Newly Built 4 bedroom duplex for at Akala Expressway, Ibadan. • Features - Access..."
"3bdrm Bungalow in Eminence Estate , At for sale","₦ 75,000,000",Jericho,For sale *Luxury bungalow* Beautifully built 3bedroom bungalow with swimming pool and other modern...
4bdrm Duplex in Basorun for sale,"₦ 170,000,000",Basorun,"Adigun GRA, beside BCOS, Bashorun4 bedroom duplex lere adigun GRA Basorun ibadan We have fully..."
"3bdrm Bungalow in Achiever'S Estate, Ibadan for sale","₦ 32,000,000",Ibadan,"The house is about 90% completed. It is situated in Achiever's Estate Ariyan ,along Ologuneru Ido..."
"4bdrm Block of Flats in Aworawo, Ojoo for sale","₦ 40,000,000",Ojoo,Two units of 4bedroom & 3bedroom with a garage on 801sqm land. Benefits Well fenced and...
"2bdrm Bungalow in Adeosun, Ibadan for sale","₦ 12,000,000",Ibadan,Uncompleted Twin 2 bedroom flat bungalow at adeosun along Lifeforte International high school on a...
"2bdrm Block of Flats in Akinsanre, Iwo Road for sale","₦ 9,000,000",Iwo Road,"Incomplete 3 Units of 2-Bedroom Flats for Sale at Ejioku, Ibadan Located on Akinsanre Road, Ejioku,..."
"4bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 180,000,000",Akobo,*4 Beds / Kolapo Akobo / 160M* For Sale !! Newly Built 4 Beds Eye Catchy Fully Detached Duplex Home...
"4bdrm Bungalow in Akala Estate, Akobo for sale","₦ 70,000,000",Akobo,Tastefully finished newly built luxurious 3-bedroom detached bungalow with bq at adeoye adeosun...
4bdrm Duplex in Caralton Gate for sale,"₦ 260,000,000",Akobo,For sale luxury fully detached 4 bedroom duplex with bq location carlton gate estates kolapo ishola...
4bdrm Duplex in Oluyole for sale,"₦ 120,000,000",Oluyole Estate,"Luxury 4Bedroom detached duplex with automated gate,fitted kitchen at pupple gate oluyole estate..."
"Furnished 3bdrm Bungalow in Beloved Estate, Jericho for sale","₦ 70,000,000",Jericho,Dont miss this impeccable property built so lusciously . A few features that made it so desirable...
3bdrm Bungalow in Ologuneru Ibadan for sale,"₦ 60,000,000",Ologuneru,"*3-Bedroom Bungalow – Hebron Court, Ologuneru, Ibadan* Ref:mp060825 This beautifully maintained..."
"3bdrm Bungalow in Adron London Park, Ibadan for sale","₦ 29,000,000",Ibadan,This is a sweet deal in one of Adron's developing estate in Ibadan. Buy and Complete. DM for more...
"3bdrm Bungalow in Behind Springfield, Eleyele for sale","₦ 60,000,000",Eleyele,*3 Beds / Eleyele / For Sale !! Newly Built 3 Bedrooms Detached Bungalow Home plus a room Bq with...
"5bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 185,000,000",Akobo,A Tastefully Finished Newly built Luxurious 4-bedroom Detached Duplex with modern facilities ...
"4bdrm Duplex in Ikoloba, Bodija for sale","₦ 240,000,000",Bodija,240m deal fully detached 4 bedroom duplex ikolaba gra book inspections today
4bdrm Duplex in Aare Bodija for sale,"₦ 170,000,000",Bodija,For sale Luxury 8Units Of Newly Built 4Bedrooms Duplex with a room BQ Location : Aare Bodija...
"3bdrm Bungalow in Ayegoro Estate,, Akobo for sale","₦ 125,000,000",Akobo,` |need to sell very fast|` *_|available sale listing|_* a contemporary newly built and tastefully...
4bdrm Duplex in Bodija for sale,"₦ 150,000,000",Bodija,"FOR SALE 4-Bedroom Duplex Location: PS Court, Adenuga, Old Bodija, Ibadan Price: • Unfurnished:..."
4bdrm Duplex in Jericho Gra Ibadan for sale,"₦ 130,000,000",Ibadan,FOR SALE Ref:Mp/Pol/280725G Newly built 4 bedroom semi-detached duplex with BQ at Jericho GRA...
"2bdrm Apartment in Ile Igbon Lalupon, Iwo Road for sale","₦ 8,000,000",Iwo Road,"FOR SALE: *2-Bedroom Flat on 2 Plot of land* . Location: Ile Igbon, Lalupon After Olodo Iwo road..."
"4bdrm Bungalow in Basorun Housing, Akobo for sale","₦ 75,000,000",Akobo,*4 Beds / Akobo Estate / 75M For Sale !! Newly Built 3 Bedrooms Bungalow Home With a room Bq in...
Furnished 5bdrm Bungalow in Old Bodija Estate for sale,"₦ 120,000,000",Old Bodija,"FOR SALE 3bedroom bungalow + 2bedroom BQ + gatehouse on 1300sqm of land Location: Old Bodija,..."
4bdrm Bungalow in Gbongúdù Ojurin for sale,"₦ 70,000,000",Akobo,"For sale Modern 4 bedroom Bungalow!* - 4 bedrooms, 5 bathrooms modern bungalow home - Smart..."
"3bdrm Bungalow in Areola Apata, Ibadan for sale","₦ 13,000,000",Ibadan,"Sales Sales 3bedroom bungalow Available apete Pop in the Sitting room, wardrobes and other modern..."
"6bdrm Duplex in Parkia Street, Alalubosa for sale","₦ 300,000,000",Alalubosa,For Sale !! 6 Bedrooms Detached Duplex Home plus a 2 Bedrooms Apartment bq Build on 1600sqm Land...
4bdrm Duplex in Blue Gate Estate for sale,"₦ 310,000,000",Oluyole Estate,*| NEED TO SELL VERY FAST| * *”AVAILABLE SALE LISTINGS”* A Contemporary new built and structurally...
"7bdrm Mansion in Ajadi Estate, Ologuneru for sale","₦ 65,000,000",Ologuneru,"7 Bedroom uncompleted building , in a serene environments , Located in the heart of Ologuneru Ibadan..."
"Furnished 5bdrm Duplex in Bitemore, Ologuneru for sale","₦ 150,000,000",Ologuneru,Elegantly built 5bedrooms duplex with 3 sitting rooms 2 Kitchens and 2 rooms bq . Security house...
12bdrm Block of Flats in Ire Akari Estate Off for sale,"₦ 85,000,000",Akala Express,A beautiful built Four flat of three bedroom apartment in a good environment. All bedrooms are...
"Furnished 4bdrm Duplex in Ikolaba Estate, for sale","₦ 200,000,000",Bodija,"Luxurious Semi detached 4 bedroom Duplexes inside Ikolaba Estate, Ibadan Description: Luxurious..."
"2bdrm Bungalow in Kasumun Estate, Akala Express for sale","₦ 53,000,000",Akala Express,"Uncompleted 9 units of 2 bedroom flat Kasumun Estate, Akala express Ibadan. LocationKasumun, Estate..."
"3bdrm Bungalow in Unique Estate, for sale","₦ 30,000,000",Akobo,Direct property to Aksammy global For Sale A semi-completed standard 3-bedroom building sitting on...
5bdrm Duplex in Akobo for sale,"₦ 190,000,000",Akobo,5 bedroom duplex with BQ at alao akala express way Akobo ibadan Newly completed 5bedroom duplex with...
"2bdrm Block of Flats in National, Ibadan for sale","₦ 45,000,000",Ibadan,Uncompleted building of 6 units of 2 bedroom flat. 4 flat has been roofed and 2 flats not roofed on...
"2bdrm Bungalow in Agric Tech Idi, Ibadan for sale","₦ 30,000,000",Ibadan,2 Units of 2bedroom bungalow available for sale at idi Anyure area close to Agric tech
"Furnished 3bdrm Bungalow in Mogana, Akala Express for sale","₦ 70,000,000",Akala Express,"A luxurious 3 bedroom flat and a 2 bedroom in the BQ on a 2 plots of land for sale at Magana, Akala..."
4bdrm Duplex in Alalubosa Gra for sale,"₦ 100,000,000",Alalubosa,These are contemporary state of the art ongoing project of 5 units of terraced 4 bedroom duplex it...
"4bdrm House in Calton Gate, Akobo for sale","₦ 310,000,000",Akobo,For sale Luxury smart 4-bedroom duplex for Sale! 4 Beds Duplex Home + Bq & Swimming Pool...
5bdrm Duplex in Oluyole Estate for sale,"₦ 290,000,000",Oluyole Estate,FOR SALE – Luxury Living at Its Finest! A newly built 5-bedroom duplex + BQ located in the...
"5bdrm Block of Flats in Agbowo, Ojoo for sale","₦ 16,000,000",Ojoo,"House for sale, Distress sale Dilapidated house for sale @ Agbowo one unit of 3 bed, one unit of..."
4bdrm Duplex in Akobo for sale,"₦ 180,000,000",Akobo,4 bedroom duplex with BQ carton Gate akobo ibadan A newly built 4 bedroom detached duplex with a...
4bdrm Bungalow in Soka for sale,"₦ 30,000,000",Soka,"For sale in Soka, Off Lagos/Ibadan Express way, Soka. 1no 3bedroom 1nos 2bedroom 2nos a room and..."
"3bdrm Block of Flats in Yidi Elebu, Akala Express for sale","₦ 96,000,000",Akala Express,For sale Newly built 4flats of 3bedrooms each at Yidi elebu with registered survey 96m Source...
"4bdrm Bungalow in Hill Off General, Ibadan for sale","₦ 20,000,000",Ibadan,A twin Bungalow of two bedroom well fenced with an extra full plot of land 100 by 60 within the...
"3bdrm Bungalow in Atere Isokan, Akala Express for sale","₦ 80,000,000",Akala Express,*luxury edifice* ■spacious 3bed | 4bath (main house) ■room and palor self attached ■ standard...
Furnished 3bdrm Bungalow in Iwo Road for sale,"₦ 35,000,000",Iwo Road,"Neatly Used 3 bedroom flat at Erunmu, Olodo Ibadan. • Features - ⁠Fully fitted kitchen -..."
12bdrm Block of Flats in Agbowo for sale,"₦ 50,000,000",Agbowo,"Well mentain 4 nos of 3 bedroom flat for sale at Agbowo, Ibadan In a very strategic location, well..."
4bdrm Duplex in Akobo for sale,"₦ 185,000,000",Akobo,Newly built 4-bedroom detached duplexes with a 1-room BQ at kolapo ishola gra akobo ibadan...
3bdrm Duplex in Jericho Ibadan for sale,"₦ 150,000,000",Ibadan,Units of 3 & 4 bedroom semi-detached duplexes with bq available for sale ref:mp/pol/280725h ...
4bdrm Duplex in Kolapo Ishola Gra for sale,"₦ 350,000,000",Ibadan,#markprizepo#09#02*25# Newly Built Luxury 4-Bedroom Penthouse with Laundry Room & BQ Location:...
Mini Flat in Ibadan Polytechnic/University for sale,"₦ 34,000,000",Ibadan Polytechnic/University,3 units mini flat on a full standard plot of land. Running water Prepaid meter Easy access to road
Furnished 11bdrm Mansion in Agodi Gra for sale,"₦ 650,000,000",Agodi,"*Mansion / Agodi GRA /* For Sale !! A mansion which consists of 6 bedrooms duplex , 3 bedrooms..."
"5bdrm Duplex in Salami Somade Estate, Basorun for sale","₦ 75,000,000",Basorun,"5 bedroom detached duplex at salami somade estate, bashorun, ibadan. *price: ₦75m(negotiable upon..."
"3bdrm Bungalow in Alpha Grace Estate ,, Idishin for sale","₦ 75,000,000",Idishin,For sale *Luxury bungalow* Beautifully built 3bedroom bungalow with swimming pool and other modern...
"4bdrm Duplex in Carlton Gate, Akobo for sale","₦ 285,000,000",Akobo,"|100% direct to afolayan homes| a contemporary newly built, exquisitely designed and tastefully..."
4bdrm Duplex in Carlton Gate Estate for sale,"₦ 220,000,000",Akobo,*For sale* *4 Beds / Carlton Gate Akobo *For Sale* Elegant Fully Detached 4 Beds Duplex Home with...
"Furnished 3bdrm Bungalow in Adeniran Estate,, Idishin for sale","₦ 100,000,000",Idishin,Beautiful 3 bedroom bungalow Sales This is an exquisitely built 3 bedroom bungalow with state of the...
5bdrm Duplex in Kolapo Ishola Gra for sale,"₦ 430,000,000",Ibadan,#markprize/po05/02#25# 5 bedroom detached duplex with a penthouse and a swimming pool at Kolapo...
"2bdrm Bungalow in Yakuna Estate, Ibadan for sale","₦ 30,000,000",Ibadan,The portable 2bedroom bungalow is built on half plot of land and situated in a secure estate. The...
18bdrm Block of Flats in Iwo Road Estate for sale,"₦ 90,000,000",Iwo Road,"6 Blocks of 3-Bed Apartment Each Erected on 600 sqm Land Size, suitable for commercial use such as..."
"8bdrm Block of Flats in Agbowo, University for sale","₦ 50,000,000",Agbowo,"For sale a luxury 8 units of modern standard room/parlor self contain. with bore hole water, tiles..."
4bdrm Duplex in Jericho for sale,"₦ 200,000,000",Jericho,*| NEED TO SELL VERY FAST| * *”AVAILABLE SALE LISTINGS”* A Contemporary newly built and structurally...
